Index,Content,Emotion
1,Tomac susține că Iohannis nu are șanse să devină șef al Consiliului European. ”Este mult prea departe acest scenariu”,Frica
2,"Prefectul Capitalei, despre achiziționarea minicentralelor: ”O măsură tardivă luată doar pentru a se putea invoca în campanie”",Neutru
3,Analiză: Românii vor din nou un președinte jucător. Pe cine?,Bucurie
4,Analiză: Cine salvează țara? Căpitanul și noii legionari?,Neutru
5,Ședință cu miză uriașă a coaliției PSD-PNL. Este discutată oficial comasarea alegerilor. Scenariul luat în calcul,Tristete
6,Cum a ajuns Iohannis în echipă cu Erdogan și Viktor Orban,Furie
7,Lista cu noile alimente cu preț plafonat: s-au scos mai multe alimente și au fost adăugate untul și magiunul. „Combatere a creşterii excesive a preţurilor”,Bucurie
8,"CTP are o întrebare pentru Klaus Iohannis: ”Va continua să țină blocat, așa cum face de 30 de ani?”",Frica
9,"Dan Negru, viitor primar? Reacția vedetei: ”Eu nu știu de unde vine apa caldă...”",Furie
10,Moartea unui om politic - pomenirea și lecțiile acesteia. Partea I: de ce trebuie să (ne) criticăm liderii?,Neutru
11,"Emilia Șercan demască gestul făcut de Adrian Cioroianu: ""O mârșăvie inimaginabilă""",Frica
12,"""Universităţile ar trebui să se ocupe de performanţă academică, nu imobiliară"". O nouă ordonanță de urgență scoate oamenii în stradă",Furie
13,"Decizie a Curții de Justiție a UE: ""Statul român nu are voie să îți taie buletinul, dacă tu ai domiciliul în străinătate!""",Bucurie
14,28 ianuarie 1990 – ziua în care respectul poporului ceh față de România s-a schimbat cu 180 de grade,Bucurie
15,Deputata AUR care militează pentru introducerea castrării chimice în cazul pedofililor și violatorilor: ”E singura soluție”,Furie
16,Fostul șef al SRI critică dur declarațiile lui Claudiu Târziu (AUR): ”Discursul îi convine cel mai mult lui Putin/ Se joacă cinic cu o temă fierbinte”,Frica
17,"Trei parlamentari români, victimele unei grupări globale de spionaj a Chinei. Dezvăluirile Departamentului de Justiţie al SUA",Tristete
18,"Analiză: De ce românii nu-i vor pe Ciucă, Ciolacu și Drulă?",Frica
19,"”Greii” europeni care vin Congresul de la București din 6-7 martie. Printre cei prezenţi va fi cancelarul Austriei, Karl Nehammer",Neutru
20,"Efectele plafonării prețurilor alimentelor de bază: ”Inflația este la jumătate, nu a existat penurie”",Furie
21,"Ciolacu anunță plafonări ”oriunde există speculă”. Energie și gaze, RCA și dobânzi, deja pe listă",Tristete
22,"Eroul anticomunist Liviu Corneliu Babeş are statuie, după 35 de ani. Allen Coliban: ""A fost un gest suprem de renunţare la sine""",Neutru
23,Politicienii români care au fost țintiți de hackeri sprijiniți de Rusia. „Agresiunile se desfășoară împotriva demnitarilor vocali”,Neutru
24,"Tőkés, autonomia și (im)posibila recuperare a maghiarilor",Neutru
25,2024 – an decisiv pentru națiunea română,Tristete
26,"Fostul baron de Gorj Dan Ilie Morega ar fi fost prins la volan fără permis. Ajuns la 78 de ani, își conducea mașina prin Târgu Jiu",Bucurie
27,Ce recorduri bat primarii USR,Bucurie
28,"Ministra Muncii, despre impozitul zero pentru familiile cu salariu minim: „Facem o analiză în momentul acesta”",Neutru
29,Ministerul de Finanţe vrea să dezgheţe creşteri salariale în sectorul bugetar. Informația esențială care lipsește din proiectul de OUG,Tristete
30,"Emilia Șercan dezvăluie scurt circuitul făcut de Adrian Cioroianu, care a divulgat public o informație cu privire la Mircea Geoană",Tristete
31,Ciolacu spune că a văzut documentele cu „regim secret” privind interdicția lui George Simion de a intra în Ucraina şi Moldova. „O decizie întemeiată”,Neutru
32,Proiect pentru plafonarea adaosului comercial la 20 la sută pentru produsele românești. „La produsele din import să pună orice adaos doresc ei”,Neutru
33,"REPER acuză USR de plagiat. „Fără hoţie ajungem departe, un slogan care pare a fi uitat în goana după voturi”",Tristete
34,"Bugetul Capitalei pe 2024, evaluat la 6,5 miliarde de lei: ”E întocmit cu colegii de la USR și PMP”",Furie
35,"Adevăruri, minciuni și statistici",Tristete
36,"Un nou pachet de sancțiuni pentru Rusia, susținut de România. „Lucrăm la un mesaj comun ca urmare a morţii disidentului rus”",Frica
37,Pliante de propagandă politică capsate de taloanele de pensii distribuite în ianuarie. PSD cere informații despre tariful perceput,Furie
38,"Nicolae Ciucă a convocat Senatul în sesiune extraordinară. Ordonanţele adoptate de Guvern la solicitarea protestatarilor, luate în discuție",Neutru
39,Cum ar putea toți copiii români din diaspora să învețe limba română,Frica
40,Încă 4 ani. Ghinion!,Neutru
41,Cine sunt primarii care au alocat sume record pentru Educație,Furie
42,"Miting antiextremism organizat la Suceava. „Să rupă clanţa uşii, să înjure, să facă fel de fel de atacuri nedemocratice”",Frica
43,"Marcel Ciolacu și George Simion, reacții după moartea fostului ministru Ilie Șerbănescu",Tristete
44,Cine sunt primarii care au recuperat hectare de spații verzi din mâinile mafiei imobiliare,Frica
45,"Primar prins în timpul unei aventuri amoroase cu o angajată. “Mă, nu vă e rușine, mă? În timpul serviciului?”VIDEO",Bucurie
46,"Care este valoarea tezaurului furat de ruși României, conform evaluării actuale în euro",Furie
47,"Ruperea coaliției, „fake news-ul săptămânii”, în viziunea unor lideri liberali. „Pentru că nu s-au comasat nişte alegeri”",Furie
48,Închiderea supermarketurilor în weekend. Ministrul Agriculturii: ”Nu putem obliga românii să meargă la orele pe care le indică statul”,Neutru
49,PSD susține că salariul minim european va fi introdus în România până la finalul anului. Impactul asupra mediului privat,Tristete
50,Guvernul prelungește valabilitatea cardurilor de energie: ”Pentru a se putea plăti facturile care ajung cu întârziere”,Frica
51,"La Sectorul 6, Mihaela Ștefan, candidatul USR, dezvăluie secretul reușitelor primăriei: „Au existat mereu doi primari - care au lucrat în tandem”/ „Cu PSD în alianță, Ciucu va fi un cal mort!”",Tristete
52,"O cunoscută jurnalistă, fost președinte TVR, vrea s-o dea jos de la primărie pe Olguța Vasilescu: ”Sătui de găști și sinecuri”",Bucurie
53,USR cataloghează vizita lui Ciucă și Ciolacu pe șantierul A7 drept ”fanfaronadă”: ”În 2024 vom circula doar pe 10 km din 320”,Bucurie
54,Ministrul Afacerilor Externe anunță că nevoile civililor palestinieni vor continua să fie o prioritate pentru România,Bucurie
55,Neputința statului în fața evaziunii fiscale și corupției. Daniel Fenechiu (PNL): “Nu e mai simplu să îți recuperezi banii azi fără să îl bagi în pușcărie?”,Bucurie
56,"Lider PNL, despre blocajul din coaliție pe comasarea alegerilor: „Este legat de faptul că Marcel Ciolacu se doreşte a fi preşedintele României”",Tristete
57,"Raport negativ despre democrația din România: ""Situația s-a înrăutățit în anul 2023. Justiția își sacrifică independența pentru a servi interesele actorilor politici",Frica
58,"Tehnica averii deținute pe firmă. Cîrstoiu are apartamente, un penthouse și bolizi de lux, pe lângă bunurile declarate",Furie
59,"Premierul, despre dotarea cu armament a inspectorilor ANAF: ”Tragi după camioane, eşti John Wayne?”",Neutru
60,Analiză: Pericolul rusesc și schizofrenia românească,Tristete
61,Rectorul SNSPA cere anchetarea legăturilor liderului AUR cu Rusia: ”Un politician de factură legionară/ Păcălește românii și afectează stabilitatea țării”,Neutru
62,"Primarul Bacăului, suspect într-un dosar DNA după ce a cazat o membră USR într-un apartament de serviciu. „Aştept să se încheie rapid această poveste”",Neutru
63,"Boloş, despre taxa pe boală: ""Cel care stă în concediu medical primeşte mai mulţi bani decât atunci când este la serviciu""",Bucurie
64,"A murit Gheorghe Tinca, cunoscut politician al anilor '90. A fost primul ministru civil al Apărării de după Revoluție",Tristete
65,Ciolacu: Apartenenţa României la NATO reprezintă o garanţie de securitate pentru ţara noastră. Vom continua să fim un actor influent şi constructivFOTO/VIDEO,Tristete
66,În România crește influența serviciilor și a armatei,Tristete
67,Un fost subprefect cere despăgubiri de 100.000 de euro. Spune că a făcut psoriazis după ce presa l-a numit ”fripturist”,Frica
68,"CTP atinge un subiect sensibil, în lupta pentru Primăria Capitalei: ""Nu le-a păsat niciodată de morții și suferinzii din Colectiv""",Neutru
69,A murit economistul Ilie Șerbănescu. Cunoscutul analist și fost ministru avea 81 de ani,Tristete
70,CTP are de ales între Ciolacu și Șoșoacă-Simion. Comparație cu Iliescu și C.V. Tudor: ”Îmi venea să-mi trag un pumn”,Neutru
71,"Elena Lasconi susține că e hărțuită de instituțiile statului: ""M-ați omorât! Președintele nostru este o persoană inexistentă / Mi s-a propus să intru în PNL""",Neutru
72,Klaus Iohannis a transmis ministrului Justiției cererile de urmărire penală față de Petre Roman și Gelu-Voican Voiculescu,Neutru
73,Revendicările fermierilor pentru încetarea protestelor. Lista a ajuns la Guvern și Ministerul Agriculturii,Bucurie
74,"Ministrul Raluca Turcan, după ce Marcel Ciolacu s-a dus la Miami Bici 2: ”N-aș dori s-o discut”",Furie
75,Analiză: Axa București-Kiev: cine o boicotează?,Neutru
76,"Paznicul unei primării, bătut de edil deoarece nu voia să-l voteze la alegerile locale. Caz revoltător în MehedințiVIDEO",Frica
77,Are AUR legături cu Rusia? De ce a tăcut Hellvig până acum?,Frica
78,Scandalul provocat de pliantele de propagandă politică atașate taloanelor de pensii ia amploare. PSD depune plângere penală împotriva PNL,Neutru
79,"Klaus Iohannis, sfidat de urmașii săi politici. „Este o onoare pentru mine”",Tristete
80,"”Să vă fie rușine, deși n-aș paria că aveți astfel de scrupule” Adrian Cioroianu o atacă pe jurnalista Emilia Șercan",Bucurie
81,"Un fost PSD-ist, dat afară din partid de Dragnea, în cărți să preia conducerea PNL Prahova. Cutremur politic după inculparea lui Iulian Dumitrescu, lider din umbră al liberalilor",Bucurie
82,Analiză: Se caută un Viktor Orban de România?,Furie
83,"Nicușor Dan, ironic la adresa lui Robert Negoiță: ”Foarte curajos să se apropie de Parchet singur”",Frica
84,Opinie: Două mandate pas cu pas - de ce tace Iohannis,Neutru
85,Deputatul PNL care a anunţat că vrea să candideze împotriva lui Emil Boc la Cluj-Napoca şi a criticat partidul. Cum „s-au răzbunat” colegii,Tristete
86,Atenţionare de călătorie emisă de MAE pentru Bulgaria. Perioade prelungite de aşteptare la terminalele de marfă,Bucurie
87,"PNL și PSD „racolează” membri din teritoriu și de la PMP și USR, nu doar în interiorul coaliției. „Unirea formaţiunilor de centru-dreapta”",Furie
88,Mircea Geoană analizează cât de gravă este amenințarea nucleară a lui Putin. „Face parte din arsenalul său de intimidare şi presiune psihologică”,Furie
89,"Controversata taxă pe soare, eliminată de Guvern. Anunțul ministrului Energiei pentru prosumatori",Tristete
90,CTP pune presiune pe Marcel Ciolacu: ”Ce spune eroul Revoluției de la Buzău?”,Tristete
91,Congresul PPE: drumul greu spre o victorie anunțată,Bucurie
92,CTP ridiculizează ambiția lui Iohannis: ”Încă un mestecător de talaș din România?”,Furie
93,"Protest USR la ușa lui Boloș: Aproape 100 de zile de când bagă mâna în buzunarul românilor prin ""taxa pe boală""",Tristete
94,"Nici Plicușor, nici Mucușor! Care este adevărata poreclă a primarului Nicușor Dan",Bucurie
95,Sfaturile lui Dîncu pentru liderul PSD Marcel Ciolacu,Frica
96,"Voucherele, o gaură în bugetul țării: ”Nu țin cont de realitatea din România. Din ce bani își va permite statul să le acorde?”",Frica
97,"Posibilitatea unui candidat comun PSD-PNL la prezidențiale: ”Mă sunaţi şi vă răspund după europarlamentare, să terminăm cu astea”",Frica
98,Patru ONG-uri vor demisia lui Cioroianu de la Biblioteca Națională. Îl acuză că a încălcat GDPR și codul de conduită etică,Tristete
99,Raluca Turcan anunță regulamentul de concurs pentru șefia Bibliotecii Naționale. Neagă demiterea sau sancționarea lui Adrian Cioroianu,Tristete
100,"Actorul Dan Puric, numit de CTP candidat la prezidențiale din partea AUR: ”Sper să aveți umor”",Frica
101,"Singurul primar USR din Sibiu a trecut la PSD. „Politica bazată pe traseism, partidul lui Dragnea, Năstase şi acum Ciolacu nu are valoare”",Frica
102,Opinie: Cum joacă guvernul alba-neagra cu datoria publică,Tristete
103,Politicienii în care românii au cea mai mare încredere. Pe ce loc se află Simion și Șoșoacă,Furie
104,Cum poate un primar să influențeze valoarea proprietăților,Bucurie
105,CTP susține că ”AUR și-a găsit Vadimul”. Cine ar fi candidatul la prezidențiale: ”Ciucă și Ciolacu ar fi KO. Chiar și Șoșoacăi nu i-ar fi ușor”,Bucurie
106,"Preşedintele Republicii Moldova, Maia Sandu, oaspetele Majestăţii Sale Margareta, Custodele Coroanei, la Săvârşin",Neutru
107,"Cine o manevrează pe Șoșoacă. Dezvăluirile soțului: ”Ce să mai, este Diana mondiala...”",Furie
108,"Emilia Șercan, despre comportamentul lui Adrian Cioroianu: ""Grosolănie inimaginabilă"" De ce spune că directorul BNaR ar trebuie să își dea demisia",Tristete
109,"Un simbol al Unirii Principatelor pe lângă care politicienii trec nepăsători în 24 ianuarie, grăbiți să joace hora la IașiFOTO",Furie
110,Ce reproșuri i-a făcut Rareș Bogdan PSD-istului Mihai Tudose,Bucurie
111,"Donezi sânge, plătești impozit mai mic. Care sunt condițiile impuse de noua lege",Frica
112,"Opinie: Analfabetismul politic, un Piedone la pătrat",Tristete
113,"Premieră în Capitală: Primăria Sectorului 2, deschisă non-stop pentru ridicarea documentelor: ""Oamenii nu vor mai fi nevoiţi să îşi ia liber de la serviciu""",Tristete
114,"Opinie: Predicile AUR, sub sutana BOR",Furie
115,Problema defrișărilor ilegale ar putea avea o soluție în curând. Europarlamentarul Nicu Ștefănuță: “Nu mai dați vina numai pe străini”,Frica
116,"Republica Moldova limitează participarea Rusiei la o importantă conferință de la Chişinău: ""A declanşat multiple crize""",Furie
117,Analist: Rolul României în NATO a devenit crucial odată cu anexarea Crimeei de către Rusia şi izbucnirea războiului împotriva Ucrainei,Neutru
118,Florin Călinescu candidează la președinția României. Mutarea decisivă pe care vrea să o facă în fruntea țării,Tristete
119,Gestul lui Iohannis care l-a șocat pe CTP: ”E magistral. Mi-a amintit de o cerșetoare româncă”,Bucurie
120,De ce au eșuat negocierile AUR cu Pro România. Victor Ponta: “Am fost zdrobiți de mamutul acesta PNL-PSD”VIDEO,Frica
121,"3 ani de guvernare PSD-PNL: 3 ani de taxe mărite, inflație și sărăcie. Care sunt soluțiile puse pe masă de alianța Dreapta Unită",Tristete
122,"Cine este George Bologan, noul consilier prezidențial numit de Iohannis. I-a luat locul lui Bogdan Aurescu",Tristete
123,"Societatea civilă, în letargie. De ce nu mai ies românii în stradă: “Interesul față de politică este în scădere în toată Europa”",Tristete
124,"Partidele, obligate să aibă 30% dintre aleși femei pentru a primi integral subvenția de la stat: ”Este în interesul societăţii şi al democraţiei româneşti”",Frica
125,"Voce nemulțumită din PNL la adresa colegilor de coaliție: ""Nu joacă corect PSD-ul. O spun cu un nod în gât, e singura soluție de guvernare""",Furie
126,Profeția lui Dâncu în privința viitorului președinte al României,Frica
127,"Ambasadoarea SUA, mesaj pentru români despre programul Visa Waiver: ”Reînnoiţi-vă vizele! Nimic nu este garantat”",Furie
128,"Dîncu, despre prezidenţiale: Geoană, un candidat cu şanse. Koveşi, mai degrabă o sperietoare",Furie
129,Claudiu Târziu reacționează la acuzațiile lui Hellvig: ”A sărit ca proasta din baie/ Să-și mănânce liniștit pensia specială”,Neutru
130,"Opinie: Pentru cine lucrează DNA? Pentru SRI, PNL și PSD?",Frica
131,Opinie: Filiera rusească - cine o susține în România?,Bucurie
132,PSD îl atacă pe Năsui pe tema salariului minim european: ”Liderii USR sunt pe un drum total greșit”,Furie
133,Scenariile comasării: se ia în calcul demisia lui Iohannis?,Tristete
134,Analiză: De partea Rusiei? Ciolacu și modelul V. Orban,Neutru
135,"Opinie: Politicianul român, crescut la creșa arivismului",Furie
136,"Cătălin Cîrstoiu a recunoscut care e oraşul său preferat din lume: ”Era o ruină, un șantier”",Bucurie
137,"Dan Șucu, nu vrei să fii Primar General?",Furie
138,"Senator PSD, despre aderarea parțială a României la Schengen: ”Acesta este secretul acordului politic”",Tristete
139,Ce vrea USR: o politică mare sau una cu partide minuscule?,Bucurie
140,"Liderii Alianţei Dreapta Unită, după ce BEC a respins protocolul de constituire a alianței electorale: „Aşa ne vom prezenta în faţa oamenilor”",Neutru
141,"A murit profesorul Daniel Barbu, fost ministru al Culturii. A fost printre inițiatorii legii speciale pentru Roșia Montană",Frica
142,"Ce se întâmplă cu alianța de guvernare după alegerile prezidențiale. Ciolacu: ""Să vedem votul românilor de pe 9 iunie și vom lua o hotărâre""VIDEO",Furie
143,"Lista PNL pentru europarlamentare anunțată oficial. Reacția lui Ciucă despre retragerea Ramonei Chiriac, care se afla pe primul loc",Neutru
144,CCR discută în martie sesizarea privind transmiterea a 35 de terenuri în proprietatea privată a Universităţii de Ştiinţele Vieţii „Regele Mihai I”,Bucurie
145,"CTP, despre vinul de 3.000 de euro servit de Nicolae Ciucă: ”Urina băutorului devine albastră!”",Bucurie
146,Opinie: Disperarea lui Ciolacu și potențialul lui Geoană,Frica
147,"Candidatul USR pentru primăria Sectorului 3 din București. ""Începem lupta""",Tristete
148,"Ce le-a spus Diana Șoșoacă polițiștilor, după ce a rămas fără permis: ”Uite cum taie niște linii acolo! Fir-ar mama voastră de slugi și nenorociți...”VIDEO",Neutru
149,"Acuze PNL-PSD. Sighiartău: Starea de confuzie ne afectează. Pucheanu: PNL e bulversat de ani de zile, nu era nevoie de noi pentru asta",Frica
150,CTP îl compară pe Klaus Iohannis cu Gabriela Firea: ”Cu tot atâtea șanse de câștig”,Neutru
151,"Liviu Dragnea, la un pas de moarte. Medicii au reușit să-l stabilizeze pe fostul lider PSD",Tristete
152,Gheorghe Flutur va fi viitorul președinte al României?,Furie
153,Cine sunt femeile pe care Dreapta Unită le trimite în Parlamentul European,Furie
154,De ce Bulgaria își menține echilibrul în ciuda schimbărilor politice drastice: ”Au avut o rigoare fiscală și economică extrem de dură”,Frica
155,"Răzvan Timofciuc, exclus din USR toamna trecută, ales viceprimarul Iașiului. Mihai Chirica l-a propus în ciuda scandalurilor din trecut",Bucurie
156,"Supărarea unui lider PNL, după ce PSD a anunțat că a „racolat” mai mulți primari liberali. „Permutări în stil golănesc”",Frica
157,"Coaliția PSD și PNL așteaptă rezultatele sondajelor pentru a decide candidatul la Capitală. Băluță și Firea, Burduja și Lupescu, analizați de partide",Neutru
158,"Noaptea minții în cel mai bogat sector din București. Stradă neasfaltată, spălată cu furtunul cu apă de administrațieVIDEO",Tristete
159,"România, aliatul cheie al Marii Britanii pentru protejarea flancului sud-estic al NATO: ”Cred că putem lucra mai mult împreună în Marea Neagră”",Frica
160,2024: PSD câștigă alegerile și UDMR (nu) intră în parlament?,Neutru
161,"Plângere penală depusă de USR împotriva lui Robert Negoiţă, pentru contracte cu dedicaţie de peste 15 milioane euro",Frica
162,"Întâlniri secrete și afaceri dubioase. România, încotro?",Bucurie
163,"România în NATO de 20 de ani. Expert: ""Unde suntem acum? Înţelegem mai bine prin comparaţie. Unde sunt Ucraina şi Republica Moldova?""",Bucurie
164,Ce șanse îi dă Carmen Harra lui Marcel Ciolacu să fie președinte: ”Am văzut asta la Hillary. Când ești în anii personali 2...”,Furie
165,Se interzice fumatul țigărilor electronice în spațiile publice închise și în birouri. Ce mai prevede legea promulgată de Klaus Iohannis,Bucurie
166,"Când vine pronunțarea în dosarul Roșia Montană. Marcel Boloș: ""Perspectiva de a schimba decizia este destul de mică""",Frica
167,Cum au fost furați zilnic și îndatorați cu mii de euro toți românii,Furie
168,Cum îl desființează CTP pe Nicolae Ciucă: ”Pot împinge la sinucidere un bou adult”,Furie
169,Stenograme din ședința PNL în care s-a discutat comasarea alegerilor. Vasile Blaga: „Se rupe hamul ori moare calul”,Tristete
170,"„Fir-ar mama ei a dracu' de zdreanță! Mi-e scârbă de mine!”. Diana Șoșoacă, pusă la punct de soțul abuzat timp de doi ani",Frica
171,Presiuni de la șeful PNL Iași către Ciolacu să-l retragă pe Bogdan Cojocaru din funcția de prefect: ”Un scenariu aproape hilar”,Frica
172,"500.000 de euro despăgubiri pentru stres, flatulențe și scaune moi. Un membru ALDE dat în judecată pentru că a trădat partidul",Furie
173,"Cătălin Cîrstoiu, un nou atac la Nicușor Dan: ""Nu a autorizat toaletarea arborilor sau îndepărtarea copacilor uscați""",Frica
174,Prima consecință după scandalul taloanelor de pensii livrate cu pliante PNL: Poşta suspendă serviciul pentru materiale cu caracter politic,Furie
175,"Dan Puric, după postarea lui CTP: ""Am stat de vorbă cu un nebun""",Neutru
176,Materiale de propagandă politică având însemnele PNL au fost distribuite în sediul Inspectoratului Şcolar Judeţean Iași: ”Am rămas siderat”,Tristete
177,PSD continuă cu „marea racolare” înainte de alegeri. Al zecelea primar din Timiș renunță la partidul său și anunță că trece la social-democrați,Frica
178,"Fostul polițist care și-a amenințat vecina cu moartea este liderul partidului condus de Carmen Dan, fost ministru de Interne",Furie
179,O parte dintre parlamentari vor lucra online pentru a se ocupa şi de campaniile electorale. „Având în vedere contextul politic actual”,Bucurie
180,"""De ce își șterge Adrian Cioroianu comentariile cu iz interlop?"" Ministrul Culturii, Raluca Turcan, prinsă în scandalul momentului",Tristete
181,Cum primește Catedrala Mântuirii Neamului bani de la stat. Oficial BOR: “Patriarhia nu poate cunoaște situația internă din cadrul Primăriei”,Furie
182,Pe cine dă vina Vasile Dîncu pentru eșecurile PSD din ultimii 20 de ani,Bucurie
183,Elena Lasconi a demisionat din funcția de vicepreședinte al USR Argeș. „Nu mă mai interesează. Mie îmi e scârbă”,Bucurie
184,Primarul uneia dintre cele mai bogate comune se mută din PNL în PSD pentru un nou mandat,Furie
185,Schimb de replici între liberali și social-democrați pe „părăsirea coaliției”. Liniile roșii impuse de PNL,Tristete
186,"Liderii Coaliției, la prezentarea candidatului comun pentru Primăria Capitalei: ""Nu a stat cu mâna întinsă""",Frica
187,Fraudă pe față? Pentru cine e Ordonanța primarilor traseiști,Neutru
188,"Ionuț Lupescu, propunerea surpriză a PNL la Primăria București. Ce fost mare sportiv și-a mai dorit Capitala",Bucurie
189,De unde vin banii AUR? DNA și pericolul victimizării,Neutru
190,"Ambasadorul Rusiei la Bucureşti, ironii după ce a fost convocat la MAE: ”Cel mai vag demers/ Am putut doar ghici”",Furie
191,USR și Forța Dreptei au depus o moțiune simplă împotriva ministrului Finanțelor. ”Inventatorul şi păzitorul taxei pe boală trebuie să plece”,Frica
192,"Noi cazuri de traseism, înainte de alegeri. Liberalii care „s-au detașat de stilul de lucru bazat pe scandal al PNL” și au trecut la PSD",Neutru
193,"Plafonarea prețurilor alimentelor de bază a dus la creșterea producției. Măsura, prelungită până la finalul anului",Bucurie
194,"CTP, despre plicul suspect cu zahăr primit de Diana Șoșoacă: ”Asta e faza în care se află această dihanie”. Asemănarea cu Băsescu și Trump",Tristete
195,"Români controlați la sânge pe aeroporturi din Europa, deși suntem în Schengen. ”Sunt și abuzuri, dar sunt primii pași”",Furie
196,Cine scoate din joc Alianța USR-PMP-FD? Arbitrii sau Tomac?,Neutru
197,"Olaf Scholz, la București: „Nu există state membre ale UE de primă clasă sau de a doua clasă”",Tristete
198,"Mircea Geoană, favorit pentru alegerile prezidențiale și cu mult peste Ciolacu. Șoșoacă l-a depășit pe Simion și completează cu ușurință top 3SONDAJ",Bucurie
199,"Sorin Voinea, președintele Alianței Românilor Digitali: ”Vom cere Tribunalului București radierea AUR din Registrul Partidelor Politice”",Furie
200,"Ministrul Agriculturii le ia apărarea crescătorilor: ""Eu nu cred că fermierii români vopsesc puii. Cel mai mare export de carne de pui în Franţa se face din România""",Tristete
201,"PSD acuză dezinformări privind salariului minim european. „USR, adversar al pensionarilor şi al salariaţilor cu venituri mici”",Frica
202,"Reacția Gabrielei Firea, după ce PSD a exclus-o din lupta pentru Primăria Capitalei. Ce planuri avea pentru bucureșteni",Neutru
